source	pathway_id	pathway_name	bg_eligible_genes
GO_BP	GO:0000709	meiotic joint molecule formation	1
GO_BP	GO:0000710	meiotic mismatch repair	3
GO_BP	GO:0000712	resolution of meiotic recombination intermediates	9
GO_BP	GO:0000715	nucleotide-excision repair, DNA damage recognition	1
GO_BP	GO:0000720	pyrimidine dimer repair by nucleotide-excision repair	1
GO_BP	GO:0000722	telomere maintenance via recombination	7
GO_BP	GO:0000723	telomere maintenance	40
GO_BP	GO:0000724	double-strand break repair via homologous recombination	77
GO_BP	GO:0000725	recombinational repair	1
GO_BP	GO:0000727	double-strand break repair via break-induced replication	10
GO_BP	GO:0000729	DNA double-strand break processing	10
GO_BP	GO:0000730	DNA recombinase assembly	5
GO_BP	GO:0000731	DNA synthesis involved in DNA repair	10
GO_BP	GO:0000732	DNA strand displacement	1
GO_BP	GO:0000819	sister chromatid segregation	2
GO_BP	GO:0000902	cell morphogenesis	38
GO_BP	GO:0000915	actomyosin contractile ring assembly	3
GO_BP	GO:0000916	actomyosin contractile ring contraction	1
GO_BP	GO:0000921	septin ring assembly	1
GO_BP	GO:0000956	nuclear-transcribed mRNA catabolic process	20
GO_BP	GO:0000957	mitochondrial RNA catabolic process	4
GO_BP	GO:0000958	mitochondrial mRNA catabolic process	3
GO_BP	GO:0000959	mitochondrial RNA metabolic process	1
GO_BP	GO:0000962	positive regulation of mitochondrial RNA catabolic process	3
GO_BP	GO:0000963	mitochondrial RNA processing	6
GO_BP	GO:0000964	mitochondrial RNA 5'-end processing	2
GO_BP	GO:0000965	mitochondrial RNA 3'-end processing	3
GO_BP	GO:0000968	tRNA exon ligation	3
GO_BP	GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	4
GO_BP	GO:0000973	post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery	3
GO_BP	GO:0001100	negative regulation of exit from mitosis	1
GO_BP	GO:0001111	RNA polymerase II promoter clearance	6
GO_BP	GO:0001112	DNA-templated transcription open complex formation	1
GO_BP	GO:0001174	transcriptional start site selection at RNA polymerase II promoter	1
GO_BP	GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter	1
GO_BP	GO:0001188	RNA polymerase I preinitiation complex assembly	2
GO_BP	GO:0001193	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II	1
GO_BP	GO:0001501	skeletal system development	66
GO_BP	GO:0001502	cartilage condensation	6
GO_BP	GO:0001503	ossification	19
GO_BP	GO:0001504	neurotransmitter uptake	6
GO_BP	GO:0001507	acetylcholine catabolic process in synaptic cleft	1
GO_BP	GO:0001508	action potential	30
GO_BP	GO:0001510	RNA methylation	6
GO_BP	GO:0001514	selenocysteine incorporation	4
GO_BP	GO:0001516	prostaglandin biosynthetic process	11
GO_BP	GO:0001519	peptide amidation	1
GO_BP	GO:0001522	pseudouridine synthesis	2
GO_BP	GO:0001523	retinoid metabolic process	16
GO_BP	GO:0001525	angiogenesis	96
GO_BP	GO:0001541	ovarian follicle development	11
GO_BP	GO:0001546	preantral ovarian follicle growth	1
GO_BP	GO:0001550	ovarian cumulus expansion	2
GO_BP	GO:0001553	luteinization	2
GO_BP	GO:0001555	oocyte growth	2
GO_BP	GO:0001556	oocyte maturation	4
GO_BP	GO:0001558	regulation of cell growth	26
GO_BP	GO:0001560	regulation of cell growth by extracellular stimulus	2
GO_BP	GO:0001561	fatty acid alpha-oxidation	4
GO_BP	GO:0001568	blood vessel development	12
GO_BP	GO:0001569	branching involved in blood vessel morphogenesis	11
GO_BP	GO:0001570	vasculogenesis	21
GO_BP	GO:0001572	lactosylceramide biosynthetic process	2
GO_BP	GO:0001573	ganglioside metabolic process	2
GO_BP	GO:0001574	ganglioside biosynthetic process	13
GO_BP	GO:0001576	globoside biosynthetic process	2
GO_BP	GO:0001578	microtubule bundle formation	24
GO_BP	GO:0001579	medium-chain fatty acid transport	2
GO_BP	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	1
GO_BP	GO:0001581	detection of chemical stimulus involved in sensory perception of sour taste	1
GO_BP	GO:0001649	osteoblast differentiation	61
GO_BP	GO:0001654	eye development	28
