node_index,gene_id,gene_symbol,baseMean_primary,lfc_shrunk_primary,pvalue_primary,padj_primary,analysis_eligible_primary
14684,ENSG00000205084,TMEM231,467.666425065157,0.10470732178948,0.35236977598653,0.519123189947591,True
14685,ENSG00000205085,GARIN1A,NA,NA,NA,NA,False
14686,ENSG00000205090,TMEM240,900.314997988761,-0.166974856368008,0.0936067745014537,0.204935067449691,True
14687,ENSG00000205111,CDKL4,265.835259461573,1.79554905389659,1.63357071109229e-11,9.737165323889901e-10,True
14688,ENSG00000205116,TMEM88B,6188.07156348517,-0.525305279834472,0.0027122012934282,0.0138326665318115,True
14689,ENSG00000205126,ACCSL,NA,NA,NA,NA,False
14690,ENSG00000205129,CFAP96,83.292715991302,0.197178031428321,0.158391002321231,0.299967419996104,True
14691,ENSG00000205133,TRIQK,755.863086889975,0.103128791115562,0.271191900130548,0.433225013075308,True
14692,ENSG00000205138,SDHAF1,393.842637633809,-0.0146635531359529,0.868287585052183,0.922907805041785,True
14693,ENSG00000205143,ARID3C,NA,NA,NA,NA,False
14694,ENSG00000205155,PSENEN,1095.08740730588,-0.066620717601638,0.428801929378069,0.592534705053894,True
14695,ENSG00000205177,C11orf91,NA,NA,NA,NA,False
14696,ENSG00000205186,FABP9,NA,NA,NA,NA,False
14697,ENSG00000205189,ZBTB10,307.026742330517,0.114275024755509,0.223031011473509,0.38029569296398,True
14698,ENSG00000205208,C4orf46,58.2536854377651,-0.150749027965407,0.25336950633628,0.41394648665575,True
14699,ENSG00000205213,LGR4,1004.64699498991,-0.0733196774145528,0.477886318806158,0.635780184070496,True
14700,ENSG00000205220,PSMB10,767.097808316952,-0.0006889314469896,0.992568154484419,0.995140909290215,True
14701,ENSG00000205221,VIT,228.732094285629,0.0011720524642267,0.993742517183055,0.99572176853181,True
14702,ENSG00000205250,E2F4,599.043600287334,0.0356594181836021,0.73084701793352,0.830880218703938,True
14703,ENSG00000205268,PDE7A,584.600589013367,0.128506162990293,0.155739123321293,0.296059696797446,True
14704,ENSG00000205269,TMEM170B,2570.387576585,-0.0639126534051984,0.532335834570859,0.68172159570285,True
14705,ENSG00000205279,CTXN3,654.246827638216,-0.91230367682085,0.0031539646993265,0.0155619513626639,True
14706,ENSG00000205301,MGAT4D,NA,NA,NA,NA,False
14707,ENSG00000205302,SNX2,2514.98478687723,-0.0602891299725343,0.220634612274657,0.377650728262106,True
14708,ENSG00000205309,NT5M,1219.32645925076,-0.385643363514994,0.0011482099412752,0.0070409733941581,True
14709,ENSG00000205323,SARNP,1149.44479680955,-0.178197871143423,0.0019008860755728,0.0104811241440068,True
14710,ENSG00000205329,OR6C3,NA,NA,NA,NA,False
14711,ENSG00000205336,ADGRG1,3692.78165961152,0.276288838144166,0.0189665502942225,0.0627247707205986,True
14712,ENSG00000205339,IPO7,5830.18222027756,-0.0801833454671568,0.265776215300795,0.427026948527231,True
14713,ENSG00000205356,TECPR1,2770.21352321456,-0.201484755833887,0.025131601236282,0.0771680050656052,True
14714,ENSG00000205363,INSYN1,3416.14745769796,-0.076465724793934,0.536153266328851,0.684943323199475,True
14715,ENSG00000205403,CFI,NA,NA,NA,NA,False
14716,ENSG00000205423,CNEP1R1,1073.99673804445,-0.0938411830741835,0.198472398290513,0.349851065634167,True
14717,ENSG00000205436,EXOC3L4,123.617917812738,-1.26771253757266,2.93375868454929e-12,1.97314882222334e-10,True
14718,ENSG00000205442,IZUMO3,NA,NA,NA,NA,False
14719,ENSG00000205476,CCDC85C,2702.13412209783,-0.0367231815025151,0.642591790039828,0.766705271321611,True
14720,ENSG00000205495,OR52J3,NA,NA,NA,NA,False
14721,ENSG00000205517,RGL3,123.96259168387,-0.0939155190351481,0.404070480058288,0.570121246152807,True
14722,ENSG00000205531,NAP1L4,5065.21430494512,-0.0667200815357454,0.339173848489041,0.505981488247064,True
14723,ENSG00000205544,TMEM256,556.307251378822,0.0110994033300546,0.904504326587088,0.945320929915525,True
14724,ENSG00000205560,CPT1B,NA,NA,NA,NA,False
14725,ENSG00000205581,HMGN1,1798.01494860896,0.0952555877407589,0.316796506826107,0.482600492532939,True
14726,ENSG00000205593,DENND6B,818.333970786979,-0.13398562910846,0.162083344473749,0.304666301516416,True
14727,ENSG00000205629,LCMT1,1677.62052572719,0.0069036793441006,0.934615592825541,0.964327830515905,True
14728,ENSG00000205639,MFSD2B,32.6616615610763,-0.0090717745857384,0.934655025362876,0.964327830515905,True
14729,ENSG00000205643,CDPF1,213.854981692333,0.0602333247308617,0.542919399009512,0.689350871465268,True
14730,ENSG00000205659,LIN52,1051.06875215009,-0.069291158066842,0.344096554500435,0.510282085361628,True
14731,ENSG00000205669,ACOT6,306.707692905341,0.0248988366794025,0.765629101311254,0.854951363508092,True
14732,ENSG00000205670,SMIM11,273.828330947155,0.0932770293475325,0.406657633040965,0.571903505619615,True
14733,ENSG00000205678,TECRL,NA,NA,NA,NA,False
14734,ENSG00000205683,DPF3,150.371638381449,-0.0030227771205178,0.978608132598693,0.98816539437675,True
14735,ENSG00000205693,MANSC4,NA,NA,NA,NA,False
14736,ENSG00000205704,SMIM45,3777.36511570158,-0.232323349888815,0.004766772522066,0.0213884045701121,True
14737,ENSG00000205707,ETFRF1,954.76004403297,-0.264906121137975,0.0068481257365943,0.0283878963049266,True
14738,ENSG00000205710,C17orf107,NA,NA,NA,NA,False
14739,ENSG00000205726,ITSN1,6483.74254698317,-0.275347390439175,0.0003798973730716,0.0028674610706732,True
14740,ENSG00000205730,ITPRIPL2,405.967619169157,0.0241254666235015,0.841537819296639,0.90554595767401,True
14741,ENSG00000205744,DENND1C,45.4368850946628,0.0694524873256192,0.546829107984346,0.692595135057314,True
14742,ENSG00000205758,CRYZL1,1675.30772987693,-0.0717152787400642,0.202613966918135,0.355110906065968,True
14743,ENSG00000205765,RIMOC1,2814.79804902253,-0.226929421289128,0.0512020105888471,0.130893235589486,True
14744,ENSG00000205784,ARRDC5,NA,NA,NA,NA,False
14745,ENSG00000205795,CYS1,282.159031440594,0.388345154471865,0.0112753227978751,0.0417455798730864,True
14746,ENSG00000205808,PLPP6,1370.70268531574,-0.222867275861843,0.100015172859242,0.215024073341997,True
14747,ENSG00000205835,GMNC,33.425319348132,1.25215484969756,0.0001701762019215,0.0014967175465501,True
14748,ENSG00000205838,TTC23L,NA,NA,NA,NA,False
14749,ENSG00000205846,CLEC6A,NA,NA,NA,NA,False
14750,ENSG00000205884,DEFB136,NA,NA,NA,NA,False
14751,ENSG00000205899,BHLHA9,26.058800554633,0.953777439549149,0.0005976429137914,0.0041781850621207,True
14752,ENSG00000205903,ZNF316,818.868917988356,0.242998390740371,0.0024540185453395,0.0127590703781461,True
14753,ENSG00000205922,ONECUT3,45.4793062300658,0.0103312969116244,0.869298372197104,0.923680949850599,True
14754,ENSG00000205927,OLIG2,1825.26567040848,-0.303838245959688,0.0289731661833819,0.0862474582457738,True
14755,ENSG00000205929,C21orf62,39.5677518797175,0.279303022280006,0.0722426465900019,0.169291318853918,True
14756,ENSG00000205937,RNPS1,3236.18274329802,0.100158493287441,0.229282319602081,0.388165800731643,True
14757,ENSG00000205978,NYNRIN,989.538174265965,0.246758283194264,0.0974936726114671,0.211230411331695,True
14758,ENSG00000205981,DNAJC19,670.537490770243,-0.151554960991209,0.0432266741872045,0.116092650278127,True
14759,ENSG00000206013,IFITM5,NA,NA,NA,NA,False
14760,ENSG00000206043,C18orf63,NA,NA,NA,NA,False
14761,ENSG00000206052,DOK6,2887.72393324345,0.0493144016217227,0.595145541009936,0.72990204478615,True
14762,ENSG00000206053,JPT2,376.862914617244,0.10297542695416,0.417802837391797,0.582545503948171,True
14763,ENSG00000206069,LHFPL7,NA,NA,NA,NA,False
14764,ENSG00000206072,SERPINB11,NA,NA,NA,NA,False
14765,ENSG00000206075,SERPINB5,NA,NA,NA,NA,False
14766,ENSG00000206107,KRTAP27-1,NA,NA,NA,NA,False
14767,ENSG00000206113,CFAP99,NA,NA,NA,NA,False
14768,ENSG00000206150,RNASE13,NA,NA,NA,NA,False
14769,ENSG00000206190,ATP10A,395.849579566248,-0.0077970614846693,0.949122708081218,0.972743073923095,True
14770,ENSG00000206199,ANKUB1,200.840989341297,-0.229656505361044,0.0892054671661747,0.197663347524485,True
14771,ENSG00000206203,TSSK2,NA,NA,NA,NA,False
14772,ENSG00000206384,COL6A6,29.1401975297089,0.147500486147083,0.0689155767276268,0.163692390652193,True
14773,ENSG00000206418,RAB12,3014.06242565324,0.0285452692746415,0.729196302200251,0.829513557595202,True
