node_index,gene_id,gene_symbol,graph_degree
12401,ENSG00000178425,NT5DC1,0
12402,ENSG00000178445,GLDC,4
12403,ENSG00000178449,COX14,2
12404,ENSG00000178460,MCMDC2,0
12405,ENSG00000178462,TUBAL3,15
12406,ENSG00000178467,P4HTM,1
12407,ENSG00000178473,UCN3,5
12408,ENSG00000178498,DTX3,0
12409,ENSG00000178502,KLHL11,1
12410,ENSG00000178522,AMBN,2
12411,ENSG00000178531,CTXN1,0
12412,ENSG00000178537,SLC25A20,1
12413,ENSG00000178538,CA8,0
12414,ENSG00000178562,CD28,18
12415,ENSG00000178567,EPM2AIP1,0
12416,ENSG00000178568,ERBB4,30
12417,ENSG00000178573,MAF,11
12418,ENSG00000178585,CTNNBIP1,7
12419,ENSG00000178597,PSAPL1,1
12420,ENSG00000178602,OTOS,0
12421,ENSG00000178605,GTPBP6,51
12422,ENSG00000178607,ERN1,30
12423,ENSG00000178623,GPR35,1
12424,ENSG00000178645,C10orf53,0
12425,ENSG00000178662,CSRNP3,0
12426,ENSG00000178685,PARP10,1
12427,ENSG00000178691,SUZ12,41
12428,ENSG00000178694,NSUN3,1
12429,ENSG00000178695,KCTD12,2
12430,ENSG00000178718,RPP25,34
12431,ENSG00000178719,GRINA,0
12432,ENSG00000178726,THBD,4
12433,ENSG00000178732,GP5,10
12434,ENSG00000178741,COX5A,70
12435,ENSG00000178750,STX19,10
12436,ENSG00000178752,ERFE,0
12437,ENSG00000178761,FAM219B,0
12438,ENSG00000178764,ZHX2,0
12439,ENSG00000178772,CPN2,1
12440,ENSG00000178773,CPNE7,0
12441,ENSG00000178776,C5orf46,0
12442,ENSG00000178795,GDPD4,0
12443,ENSG00000178796,RIIAD1,0
12444,ENSG00000178802,MPI,0
12445,ENSG00000178814,OPLAH,0
12446,ENSG00000178821,TMEM52,0
12447,ENSG00000178826,TMEM139,0
12448,ENSG00000178828,RNF186,0
12449,ENSG00000178860,MSC,0
12450,ENSG00000178878,APOLD1,0
12451,ENSG00000178882,RFLNA,0
